date,win,lose,probability
1572649200000 	,Brooklyn Nets,Detroit Pistons,0.5756733971347425
1572649200000 	,Denver Nuggets,Orlando Magic,0.709439247160214
1572652800000 	,Memphis Grizzlies,Phoenix Suns,0.6085634208526872
1572652800000 	,Milwaukee Bucks,Toronto Raptors,0.6731380542932452
1572652800000 	,Minnesota Timberwolves,Washington Wizards,0.655309488330609
1572654600000 	,Golden State Warriors,Charlotte Hornets,0.788010477272859
1572660000000 	,Portland Trail Blazers,Philadelphia 76ers,0.6625491057707308
1572728400000 	,Indiana Pacers,Chicago Bulls,0.8282988323499326
1572732000000 	,Houston Rockets,Miami Heat,0.6083644375813217
1572732000000 	,Sacramento Kings,New York Knicks,0.8259902564951007
1572735600000 	,San Antonio Spurs,Los Angeles Lakers,0.6853177053101771
1572737400000 	,Dallas Mavericks,Cleveland Cavaliers,0.771875682301739
1572742800000 	,Utah Jazz,Los Angeles Clippers,0.5226894621989449
1572822000000 	,Detroit Pistons,Washington Wizards,0.6708588944743492
1572823800000 	,New Orleans Pelicans,Brooklyn Nets,0.5022013703641306
1572825600000 	,Houston Rockets,Memphis Grizzlies,0.7508907684588905
1572825600000 	,Milwaukee Bucks,Minnesota Timberwolves,0.7880692041235364
1572829200000 	,Philadelphia 76ers,Phoenix Suns,0.8920399477572144
1572834600000 	,Golden State Warriors,Portland Trail Blazers,0.7052397087248163
1572908400000 	,Indiana Pacers,Charlotte Hornets,0.6146925932682338
1572908400000 	,Boston Celtics,Cleveland Cavaliers,0.8701643451248282
1572910200000 	,San Antonio Spurs,Atlanta Hawks,0.7805955397228671
1572912000000 	,Los Angeles Lakers,Chicago Bulls,0.7377594429427143
1572912000000 	,Oklahoma City Thunder,Orlando Magic,0.6669993056175053
1572915600000 	,Denver Nuggets,Miami Heat,0.7595628882017614
1572994800000 	,Detroit Pistons,New York Knicks,0.7446724895336237
1572994800000 	,Indiana Pacers,Washington Wizards,0.6884274128800157
1572996600000 	,Atlanta Hawks,Chicago Bulls,0.5067312228672965
1572996600000 	,Houston Rockets,Golden State Warriors,0.567278040532464
1572996600000 	,Toronto Raptors,Sacramento Kings,0.8012627419597158
1572998400000 	,Minnesota Timberwolves,Memphis Grizzlies,0.6049706285245949
1573000200000 	,Orlando Magic,Dallas Mavericks,0.5400566328188627
1573002000000 	,Utah Jazz,Philadelphia 76ers,0.6330254757295349
1573005600000 	,Milwaukee Bucks,Los Angeles Clippers,0.6342820343480835
1573084800000 	,Boston Celtics,Charlotte Hornets,0.6359322560530142
1573086600000 	,San Antonio Spurs,Oklahoma City Thunder,0.5512841647400073
